node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_ExStr_1,3389,Schaefer300
2,17Networks_LH_VisCent_ExStr_2,2683,Schaefer300
3,17Networks_LH_VisCent_ExStr_3,4062,Schaefer300
4,17Networks_LH_VisCent_ExStr_4,3733,Schaefer300
5,17Networks_LH_VisCent_ExStr_5,4811,Schaefer300
6,17Networks_LH_VisCent_ExStr_6,3511,Schaefer300
7,17Networks_LH_VisCent_Striate_1,6400,Schaefer300
8,17Networks_LH_VisCent_ExStr_7,5850,Schaefer300
9,17Networks_LH_VisCent_ExStr_8,4599,Schaefer300
10,17Networks_LH_VisCent_ExStr_9,5965,Schaefer300
11,17Networks_LH_VisCent_ExStr_10,3789,Schaefer300
12,17Networks_LH_VisPeri_ExStrInf_1,3352,Schaefer300
13,17Networks_LH_VisPeri_ExStrInf_2,2450,Schaefer300
14,17Networks_LH_VisPeri_ExStrInf_3,2568,Schaefer300
15,17Networks_LH_VisPeri_ExStrInf_4,2243,Schaefer300
16,17Networks_LH_VisPeri_StriCal_1,5193,Schaefer300
17,17Networks_LH_VisPeri_ExStrSup_1,2722,Schaefer300
18,17Networks_LH_VisPeri_ExStrSup_2,3863,Schaefer300
19,17Networks_LH_VisPeri_ExStrSup_3,3336,Schaefer300
20,17Networks_LH_VisPeri_ExStrSup_4,4081,Schaefer300
21,17Networks_LH_SomMotA_1,3308,Schaefer300
22,17Networks_LH_SomMotA_2,1921,Schaefer300
23,17Networks_LH_SomMotA_3,3610,Schaefer300
24,17Networks_LH_SomMotA_4,2483,Schaefer300
25,17Networks_LH_SomMotA_5,1916,Schaefer300
26,17Networks_LH_SomMotA_6,4034,Schaefer300
27,17Networks_LH_SomMotA_7,2659,Schaefer300
28,17Networks_LH_SomMotA_8,2228,Schaefer300
29,17Networks_LH_SomMotA_9,2844,Schaefer300
30,17Networks_LH_SomMotA_10,3804,Schaefer300
31,17Networks_LH_SomMotA_11,3184,Schaefer300
32,17Networks_LH_SomMotA_12,4432,Schaefer300
33,17Networks_LH_SomMotA_13,2967,Schaefer300
34,17Networks_LH_SomMotA_14,2424,Schaefer300
35,17Networks_LH_SomMotA_15,2051,Schaefer300
36,17Networks_LH_SomMotB_Aud_1,3384,Schaefer300
37,17Networks_LH_SomMotB_Aud_2,4988,Schaefer300
38,17Networks_LH_SomMotB_S2_1,1427,Schaefer300
39,17Networks_LH_SomMotB_S2_2,2302,Schaefer300
40,17Networks_LH_SomMotB_S2_3,1852,Schaefer300
41,17Networks_LH_SomMotB_Aud_3,3507,Schaefer300
42,17Networks_LH_SomMotB_S2_4,2563,Schaefer300
43,17Networks_LH_SomMotB_S2_5,2050,Schaefer300
44,17Networks_LH_SomMotB_S2_6,1962,Schaefer300
45,17Networks_LH_SomMotB_Cent_1,5001,Schaefer300
46,17Networks_LH_SomMotB_Cent_2,2547,Schaefer300
47,17Networks_LH_SomMotB_Cent_3,1252,Schaefer300
48,17Networks_LH_DorsAttnA_TempOcc_1,3274,Schaefer300
49,17Networks_LH_DorsAttnA_TempOcc_2,6307,Schaefer300
50,17Networks_LH_DorsAttnA_TempOcc_3,5488,Schaefer300
51,17Networks_LH_DorsAttnA_ParOcc_1,3167,Schaefer300
52,17Networks_LH_DorsAttnA_SPL_1,1375,Schaefer300
53,17Networks_LH_DorsAttnA_SPL_2,3857,Schaefer300
54,17Networks_LH_DorsAttnA_SPL_3,4417,Schaefer300
55,17Networks_LH_DorsAttnA_SPL_4,2148,Schaefer300
56,17Networks_LH_DorsAttnB_TempOcc_1,3901,Schaefer300
57,17Networks_LH_DorsAttnB_PostC_1,3953,Schaefer300
