node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_Striate_1,1834,Schaefer500
2,17Networks_LH_VisCent_Striate_2,2296,Schaefer500
3,17Networks_LH_VisCent_ExStr_1,2556,Schaefer500
4,17Networks_LH_VisCent_ExStr_2,2593,Schaefer500
5,17Networks_LH_VisCent_ExStr_3,2709,Schaefer500
6,17Networks_LH_VisCent_ExStr_4,3266,Schaefer500
7,17Networks_LH_VisCent_ExStr_5,2805,Schaefer500
8,17Networks_LH_VisCent_ExStr_6,4215,Schaefer500
9,17Networks_LH_VisCent_ExStr_7,2486,Schaefer500
10,17Networks_LH_VisCent_ExStr_8,2752,Schaefer500
11,17Networks_LH_VisCent_ExStr_9,4196,Schaefer500
12,17Networks_LH_VisCent_ExStr_10,2422,Schaefer500
13,17Networks_LH_VisCent_ExStr_11,3050,Schaefer500
14,17Networks_LH_VisCent_ExStr_12,2890,Schaefer500
15,17Networks_LH_VisCent_ExStr_13,2040,Schaefer500
16,17Networks_LH_VisPeri_StriCal_1,764,Schaefer500
17,17Networks_LH_VisPeri_StriCal_2,1280,Schaefer500
18,17Networks_LH_VisPeri_StriCal_3,3106,Schaefer500
19,17Networks_LH_VisPeri_StriCal_4,2322,Schaefer500
20,17Networks_LH_VisPeri_StriCal_5,2665,Schaefer500
21,17Networks_LH_VisPeri_ExStrInf_1,1333,Schaefer500
22,17Networks_LH_VisPeri_ExStrInf_2,2269,Schaefer500
23,17Networks_LH_VisPeri_ExStrInf_3,2270,Schaefer500
24,17Networks_LH_VisPeri_ExStrInf_4,1294,Schaefer500
25,17Networks_LH_VisPeri_ExStrInf_5,1262,Schaefer500
26,17Networks_LH_VisPeri_ExStrSup_1,2830,Schaefer500
27,17Networks_LH_VisPeri_ExStrSup_2,3528,Schaefer500
28,17Networks_LH_VisPeri_ExStrSup_3,2252,Schaefer500
29,17Networks_LH_VisPeri_ExStrSup_4,2965,Schaefer500
30,17Networks_LH_VisPeri_ExStrSup_5,2055,Schaefer500
31,17Networks_LH_SomMotA_1,562,Schaefer500
32,17Networks_LH_SomMotA_2,1826,Schaefer500
33,17Networks_LH_SomMotA_3,1074,Schaefer500
34,17Networks_LH_SomMotA_4,2507,Schaefer500
35,17Networks_LH_SomMotA_5,2773,Schaefer500
36,17Networks_LH_SomMotA_6,1117,Schaefer500
37,17Networks_LH_SomMotA_7,854,Schaefer500
38,17Networks_LH_SomMotA_8,3934,Schaefer500
39,17Networks_LH_SomMotA_9,3081,Schaefer500
40,17Networks_LH_SomMotA_10,2727,Schaefer500
41,17Networks_LH_SomMotA_11,2219,Schaefer500
42,17Networks_LH_SomMotA_12,2226,Schaefer500
43,17Networks_LH_SomMotA_13,2389,Schaefer500
44,17Networks_LH_SomMotA_14,2048,Schaefer500
45,17Networks_LH_SomMotA_15,1960,Schaefer500
46,17Networks_LH_SomMotA_16,1178,Schaefer500
47,17Networks_LH_SomMotA_17,1972,Schaefer500
48,17Networks_LH_SomMotA_18,1523,Schaefer500
49,17Networks_LH_SomMotA_19,1581,Schaefer500
50,17Networks_LH_SomMotA_20,943,Schaefer500
51,17Networks_LH_SomMotA_21,1297,Schaefer500
52,17Networks_LH_SomMotA_22,1071,Schaefer500
53,17Networks_LH_SomMotA_23,834,Schaefer500
54,17Networks_LH_SomMotB_Cent_1,838,Schaefer500
55,17Networks_LH_SomMotB_Cent_2,1717,Schaefer500
56,17Networks_LH_SomMotB_Cent_3,1832,Schaefer500
57,17Networks_LH_SomMotB_Cent_4,1303,Schaefer500
58,17Networks_LH_SomMotB_Cent_5,1407,Schaefer500
59,17Networks_LH_SomMotB_Cent_6,2514,Schaefer500
60,17Networks_LH_SomMotB_Cent_7,820,Schaefer500
61,17Networks_LH_SomMotB_S2_1,1450,Schaefer500
62,17Networks_LH_SomMotB_S2_2,1491,Schaefer500
63,17Networks_LH_SomMotB_S2_3,1702,Schaefer500
64,17Networks_LH_SomMotB_S2_4,1934,Schaefer500
65,17Networks_LH_SomMotB_S2_5,1960,Schaefer500
66,17Networks_LH_SomMotB_S2_6,1244,Schaefer500
67,17Networks_LH_SomMotB_Ins_1,903,Schaefer500
68,17Networks_LH_SomMotB_Aud_1,3234,Schaefer500
69,17Networks_LH_SomMotB_Aud_2,1981,Schaefer500
70,17Networks_LH_SomMotB_Aud_3,1405,Schaefer500
71,17Networks_LH_SomMotB_Aud_4,2126,Schaefer500
72,17Networks_LH_SomMotB_Aud_5,1095,Schaefer500
73,17Networks_LH_SomMotB_Aud_6,1877,Schaefer500
74,17Networks_LH_SomMotB_Aud_7,1250,Schaefer500
75,17Networks_LH_DorsAttnA_TempOcc_1,2742,Schaefer500
76,17Networks_LH_DorsAttnA_TempOcc_2,5082,Schaefer500
77,17Networks_LH_DorsAttnA_TempOcc_3,3786,Schaefer500
78,17Networks_LH_DorsAttnA_ParOcc_1,2858,Schaefer500
79,17Networks_LH_DorsAttnA_ParOcc_2,2914,Schaefer500
80,17Networks_LH_DorsAttnA_ParOcc_3,1682,Schaefer500
81,17Networks_LH_DorsAttnA_SPL_1,1458,Schaefer500
82,17Networks_LH_DorsAttnA_SPL_2,1400,Schaefer500
83,17Networks_LH_DorsAttnA_SPL_3,1678,Schaefer500
84,17Networks_LH_DorsAttnA_SPL_4,2934,Schaefer500
85,17Networks_LH_DorsAttnA_SPL_5,1594,Schaefer500
86,17Networks_LH_DorsAttnA_SPL_6,1029,Schaefer500
87,17Networks_LH_DorsAttnA_SPL_7,1313,Schaefer500
88,17Networks_LH_DorsAttnA_SPL_8,1162,Schaefer500
89,17Networks_LH_DorsAttnB_TempOcc_1,3798,Schaefer500
90,17Networks_LH_DorsAttnB_PostC_1,2881,Schaefer500
91,17Networks_LH_DorsAttnB_PostC_2,1757,Schaefer500
92,17Networks_LH_DorsAttnB_PostC_3,2188,Schaefer500
93,17Networks_LH_DorsAttnB_PostC_4,1716,Schaefer500
94,17Networks_LH_DorsAttnB_PostC_5,1737,Schaefer500
95,17Networks_LH_DorsAttnB_PostC_6,2047,Schaefer500
96,17Networks_LH_DorsAttnB_PostC_7,2444,Schaefer500
97,17Networks_LH_DorsAttnB_PostC_8,1955,Schaefer500
98,17Networks_LH_DorsAttnB_FEF_1,2965,Schaefer500
99,17Networks_LH_DorsAttnB_FEF_2,2160,Schaefer500
100,17Networks_LH_DorsAttnB_FEF_3,2074,Schaefer500
101,17Networks_LH_SalVentAttnA_ParOper_1,1285,Schaefer500
102,17Networks_LH_SalVentAttnA_ParOper_2,2664,Schaefer500
103,17Networks_LH_SalVentAttnA_ParOper_3,1884,Schaefer500
104,17Networks_LH_SalVentAttnA_ParOper_4,1886,Schaefer500
105,17Networks_LH_SalVentAttnA_FrOper_1,1359,Schaefer500
106,17Networks_LH_SalVentAttnA_FrOper_2,2125,Schaefer500
107,17Networks_LH_SalVentAttnA_FrOper_3,2982,Schaefer500
108,17Networks_LH_SalVentAttnA_Ins_1,3775,Schaefer500
109,17Networks_LH_SalVentAttnA_Ins_2,1815,Schaefer500
110,17Networks_LH_SalVentAttnA_Ins_3,928,Schaefer500
111,17Networks_LH_SalVentAttnA_Ins_4,2163,Schaefer500
112,17Networks_LH_SalVentAttnA_ParMed_1,1192,Schaefer500
113,17Networks_LH_SalVentAttnA_ParMed_2,1135,Schaefer500
114,17Networks_LH_SalVentAttnA_ParMed_3,1353,Schaefer500
115,17Networks_LH_SalVentAttnA_ParMed_4,1250,Schaefer500
116,17Networks_LH_SalVentAttnA_ParMed_5,2181,Schaefer500
117,17Networks_LH_SalVentAttnA_FrMed_1,3199,Schaefer500
118,17Networks_LH_SalVentAttnA_FrMed_2,2691,Schaefer500
119,17Networks_LH_SalVentAttnA_FrMed_3,1810,Schaefer500
120,17Networks_LH_SalVentAttnA_FrMed_4,948,Schaefer500
121,17Networks_LH_SalVentAttnA_FrMed_5,2139,Schaefer500
122,17Networks_LH_SalVentAttnB_IPL_1,1521,Schaefer500
123,17Networks_LH_SalVentAttnB_PFCl_1,3687,Schaefer500
124,17Networks_LH_SalVentAttnB_PFCl_2,5139,Schaefer500
125,17Networks_LH_SalVentAttnB_PFCl_3,2988,Schaefer500
126,17Networks_LH_SalVentAttnB_Ins_1,1411,Schaefer500
127,17Networks_LH_SalVentAttnB_Ins_2,1753,Schaefer500
128,17Networks_LH_SalVentAttnB_Ins_3,1327,Schaefer500
129,17Networks_LH_SalVentAttnB_PFCmp_1,661,Schaefer500
130,17Networks_LH_SalVentAttnB_PFCmp_2,510,Schaefer500
131,17Networks_LH_SalVentAttnB_PFCmp_3,3112,Schaefer500
132,17Networks_LH_SalVentAttnB_PFCmp_4,1233,Schaefer500
133,17Networks_LH_LimbicB_OFC_1,2560,Schaefer500
134,17Networks_LH_LimbicB_OFC_2,4324,Schaefer500
