node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_ExStr_1,92,Schaefer400
2,17Networks_LH_VisCent_ExStr_2,124,Schaefer400
3,17Networks_LH_VisCent_ExStr_3,106,Schaefer400
4,17Networks_LH_VisCent_ExStr_4,99,Schaefer400
5,17Networks_LH_VisCent_ExStr_5,151,Schaefer400
6,17Networks_LH_VisCent_ExStr_6,111,Schaefer400
7,17Networks_LH_VisCent_Striate_1,147,Schaefer400
8,17Networks_LH_VisCent_ExStr_7,129,Schaefer400
9,17Networks_LH_VisCent_ExStr_8,173,Schaefer400
10,17Networks_LH_VisCent_ExStr_9,167,Schaefer400
11,17Networks_LH_VisCent_ExStr_10,186,Schaefer400
12,17Networks_LH_VisCent_ExStr_11,102,Schaefer400
13,17Networks_LH_VisPeri_ExStrInf_1,119,Schaefer400
14,17Networks_LH_VisPeri_ExStrInf_2,82,Schaefer400
15,17Networks_LH_VisPeri_ExStrInf_3,83,Schaefer400
16,17Networks_LH_VisPeri_ExStrInf_4,33,Schaefer400
17,17Networks_LH_VisPeri_ExStrInf_5,52,Schaefer400
18,17Networks_LH_VisPeri_StriCal_1,127,Schaefer400
19,17Networks_LH_VisPeri_StriCal_2,137,Schaefer400
20,17Networks_LH_VisPeri_ExStrSup_1,73,Schaefer400
21,17Networks_LH_VisPeri_ExStrSup_2,133,Schaefer400
22,17Networks_LH_VisPeri_ExStrSup_3,81,Schaefer400
23,17Networks_LH_VisPeri_ExStrSup_4,95,Schaefer400
24,17Networks_LH_VisPeri_ExStrSup_5,79,Schaefer400
25,17Networks_LH_SomMotA_1,96,Schaefer400
26,17Networks_LH_SomMotA_2,63,Schaefer400
27,17Networks_LH_SomMotA_3,64,Schaefer400
28,17Networks_LH_SomMotA_4,105,Schaefer400
29,17Networks_LH_SomMotA_5,35,Schaefer400
30,17Networks_LH_SomMotA_6,39,Schaefer400
31,17Networks_LH_SomMotA_7,67,Schaefer400
32,17Networks_LH_SomMotA_8,76,Schaefer400
33,17Networks_LH_SomMotA_9,140,Schaefer400
34,17Networks_LH_SomMotA_10,80,Schaefer400
35,17Networks_LH_SomMotA_11,79,Schaefer400
36,17Networks_LH_SomMotA_12,110,Schaefer400
37,17Networks_LH_SomMotA_13,42,Schaefer400
38,17Networks_LH_SomMotA_14,84,Schaefer400
39,17Networks_LH_SomMotA_15,111,Schaefer400
40,17Networks_LH_SomMotA_16,68,Schaefer400
