node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_ExStr_1,9158,Schaefer100
2,17Networks_LH_VisCent_ExStr_2,12663,Schaefer100
3,17Networks_LH_VisCent_Striate_1,7576,Schaefer100
4,17Networks_LH_VisCent_ExStr_3,14834,Schaefer100
5,17Networks_LH_VisPeri_ExStrInf_1,7614,Schaefer100
6,17Networks_LH_VisPeri_StriCal_1,8316,Schaefer100
7,17Networks_LH_VisPeri_ExStrSup_1,8590,Schaefer100
8,17Networks_LH_SomMotA_1,14024,Schaefer100
9,17Networks_LH_SomMotA_2,18719,Schaefer100
10,17Networks_LH_SomMotB_Aud_1,12085,Schaefer100
11,17Networks_LH_SomMotB_S2_1,4219,Schaefer100
12,17Networks_LH_SomMotB_S2_2,8885,Schaefer100
13,17Networks_LH_SomMotB_Cent_1,8828,Schaefer100
14,17Networks_LH_DorsAttnA_TempOcc_1,18867,Schaefer100
15,17Networks_LH_DorsAttnA_ParOcc_1,7548,Schaefer100
16,17Networks_LH_DorsAttnA_SPL_1,13860,Schaefer100
17,17Networks_LH_DorsAttnB_PostC_1,6915,Schaefer100
18,17Networks_LH_DorsAttnB_PostC_2,4423,Schaefer100
19,17Networks_LH_DorsAttnB_PostC_3,7683,Schaefer100
20,17Networks_LH_DorsAttnB_FEF_1,13711,Schaefer100
21,17Networks_LH_SalVentAttnA_ParOper_1,8700,Schaefer100
22,17Networks_LH_SalVentAttnA_Ins_1,8478,Schaefer100
23,17Networks_LH_SalVentAttnA_Ins_2,6600,Schaefer100
24,17Networks_LH_SalVentAttnA_ParMed_1,5434,Schaefer100
25,17Networks_LH_SalVentAttnA_FrMed_1,7902,Schaefer100
26,17Networks_LH_SalVentAttnB_PFCl_1,12195,Schaefer100
27,17Networks_LH_SalVentAttnB_PFCmp_1,12756,Schaefer100
28,17Networks_LH_LimbicB_OFC_1,15815,Schaefer100
29,17Networks_LH_LimbicA_TempPole_1,20882,Schaefer100
30,17Networks_LH_LimbicA_TempPole_2,13804,Schaefer100
31,17Networks_LH_ContA_IPS_1,10644,Schaefer100
32,17Networks_LH_ContA_PFCl_1,15440,Schaefer100
33,17Networks_LH_ContA_PFCl_2,9365,Schaefer100
34,17Networks_LH_ContB_PFClv_1,12586,Schaefer100
35,17Networks_LH_ContC_pCun_1,4379,Schaefer100
36,17Networks_LH_ContC_pCun_2,6199,Schaefer100
37,17Networks_LH_ContC_Cingp_1,4009,Schaefer100
38,17Networks_LH_DefaultA_PFCd_1,6737,Schaefer100
39,17Networks_LH_DefaultA_pCunPCC_1,10505,Schaefer100
40,17Networks_LH_DefaultA_PFCm_1,13597,Schaefer100
41,17Networks_LH_DefaultB_Temp_1,16703,Schaefer100
42,17Networks_LH_DefaultB_Temp_2,8568,Schaefer100
43,17Networks_LH_DefaultB_IPL_1,20164,Schaefer100
44,17Networks_LH_DefaultB_PFCd_1,20528,Schaefer100
45,17Networks_LH_DefaultB_PFCl_1,7586,Schaefer100
46,17Networks_LH_DefaultB_PFCv_1,5764,Schaefer100
47,17Networks_LH_DefaultB_PFCv_2,16030,Schaefer100
