node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_Striate_1,1875,Schaefer1000
2,17Networks_LH_VisCent_Striate_2,1266,Schaefer1000
3,17Networks_LH_VisCent_Striate_3,1033,Schaefer1000
4,17Networks_LH_VisCent_Striate_4,821,Schaefer1000
5,17Networks_LH_VisCent_ExStr_1,1817,Schaefer1000
6,17Networks_LH_VisCent_ExStr_2,1014,Schaefer1000
7,17Networks_LH_VisCent_ExStr_3,1587,Schaefer1000
8,17Networks_LH_VisCent_ExStr_4,1406,Schaefer1000
9,17Networks_LH_VisCent_ExStr_5,771,Schaefer1000
10,17Networks_LH_VisCent_ExStr_6,1734,Schaefer1000
11,17Networks_LH_VisCent_ExStr_7,2254,Schaefer1000
12,17Networks_LH_VisCent_ExStr_8,1847,Schaefer1000
13,17Networks_LH_VisCent_ExStr_9,1365,Schaefer1000
14,17Networks_LH_VisCent_ExStr_10,1021,Schaefer1000
15,17Networks_LH_VisCent_ExStr_11,577,Schaefer1000
16,17Networks_LH_VisCent_ExStr_12,1278,Schaefer1000
17,17Networks_LH_VisCent_ExStr_13,2611,Schaefer1000
18,17Networks_LH_VisCent_ExStr_14,1600,Schaefer1000
19,17Networks_LH_VisCent_ExStr_15,927,Schaefer1000
20,17Networks_LH_VisCent_ExStr_16,1174,Schaefer1000
21,17Networks_LH_VisCent_ExStr_17,1322,Schaefer1000
22,17Networks_LH_VisCent_ExStr_18,1369,Schaefer1000
23,17Networks_LH_VisCent_ExStr_19,1353,Schaefer1000
24,17Networks_LH_VisCent_ExStr_20,594,Schaefer1000
25,17Networks_LH_VisCent_ExStr_21,2167,Schaefer1000
26,17Networks_LH_VisCent_ExStr_22,1712,Schaefer1000
27,17Networks_LH_VisCent_ExStr_23,1565,Schaefer1000
28,17Networks_LH_VisCent_ExStr_24,1274,Schaefer1000
29,17Networks_LH_VisCent_ExStr_25,937,Schaefer1000
30,17Networks_LH_VisCent_ExStr_26,402,Schaefer1000
31,17Networks_LH_VisCent_ExStr_27,1102,Schaefer1000
32,17Networks_LH_VisCent_ExStr_28,1547,Schaefer1000
33,17Networks_LH_VisCent_ExStr_29,1108,Schaefer1000
34,17Networks_LH_VisCent_ExStr_30,865,Schaefer1000
35,17Networks_LH_VisPeri_StriCal_1,437,Schaefer1000
36,17Networks_LH_VisPeri_StriCal_2,943,Schaefer1000
37,17Networks_LH_VisPeri_StriCal_3,584,Schaefer1000
38,17Networks_LH_VisPeri_StriCal_4,1479,Schaefer1000
39,17Networks_LH_VisPeri_StriCal_5,740,Schaefer1000
40,17Networks_LH_VisPeri_StriCal_6,1057,Schaefer1000
41,17Networks_LH_VisPeri_StriCal_7,951,Schaefer1000
42,17Networks_LH_VisPeri_StriCal_8,752,Schaefer1000
43,17Networks_LH_VisPeri_StriCal_9,564,Schaefer1000
44,17Networks_LH_VisPeri_StriCal_10,984,Schaefer1000
45,17Networks_LH_VisPeri_ExStrInf_1,2114,Schaefer1000
46,17Networks_LH_VisPeri_ExStrInf_2,940,Schaefer1000
47,17Networks_LH_VisPeri_ExStrInf_3,584,Schaefer1000
48,17Networks_LH_VisPeri_ExStrInf_4,799,Schaefer1000
49,17Networks_LH_VisPeri_ExStrInf_5,606,Schaefer1000
50,17Networks_LH_VisPeri_ExStrInf_6,1274,Schaefer1000
51,17Networks_LH_VisPeri_ExStrInf_7,837,Schaefer1000
52,17Networks_LH_VisPeri_ExStrInf_8,1105,Schaefer1000
53,17Networks_LH_VisPeri_ExStrInf_9,641,Schaefer1000
54,17Networks_LH_VisPeri_ExStrInf_10,1199,Schaefer1000
55,17Networks_LH_VisPeri_ExStrSup_1,505,Schaefer1000
56,17Networks_LH_VisPeri_ExStrSup_2,1153,Schaefer1000
57,17Networks_LH_VisPeri_ExStrSup_3,1593,Schaefer1000
58,17Networks_LH_VisPeri_ExStrSup_4,557,Schaefer1000
59,17Networks_LH_VisPeri_ExStrSup_5,1395,Schaefer1000
60,17Networks_LH_VisPeri_ExStrSup_6,587,Schaefer1000
61,17Networks_LH_VisPeri_ExStrSup_7,1156,Schaefer1000
62,17Networks_LH_VisPeri_ExStrSup_8,1600,Schaefer1000
63,17Networks_LH_VisPeri_ExStrSup_9,962,Schaefer1000
64,17Networks_LH_VisPeri_ExStrSup_10,1631,Schaefer1000
