node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_Striate_1,1664,Schaefer1000
2,17Networks_LH_VisCent_Striate_2,1173,Schaefer1000
3,17Networks_LH_VisCent_Striate_3,989,Schaefer1000
4,17Networks_LH_VisCent_Striate_4,739,Schaefer1000
5,17Networks_LH_VisCent_ExStr_1,1703,Schaefer1000
6,17Networks_LH_VisCent_ExStr_2,976,Schaefer1000
7,17Networks_LH_VisCent_ExStr_3,1587,Schaefer1000
8,17Networks_LH_VisCent_ExStr_4,1366,Schaefer1000
9,17Networks_LH_VisCent_ExStr_5,767,Schaefer1000
10,17Networks_LH_VisCent_ExStr_6,1684,Schaefer1000
11,17Networks_LH_VisCent_ExStr_7,2175,Schaefer1000
12,17Networks_LH_VisCent_ExStr_8,1770,Schaefer1000
13,17Networks_LH_VisCent_ExStr_9,1259,Schaefer1000
14,17Networks_LH_VisCent_ExStr_10,1017,Schaefer1000
15,17Networks_LH_VisCent_ExStr_11,572,Schaefer1000
16,17Networks_LH_VisCent_ExStr_12,1178,Schaefer1000
17,17Networks_LH_VisCent_ExStr_13,2475,Schaefer1000
18,17Networks_LH_VisCent_ExStr_14,1600,Schaefer1000
19,17Networks_LH_VisCent_ExStr_15,927,Schaefer1000
20,17Networks_LH_VisCent_ExStr_16,1174,Schaefer1000
21,17Networks_LH_VisCent_ExStr_17,1218,Schaefer1000
22,17Networks_LH_VisCent_ExStr_18,1324,Schaefer1000
23,17Networks_LH_VisCent_ExStr_19,1353,Schaefer1000
24,17Networks_LH_VisCent_ExStr_20,594,Schaefer1000
25,17Networks_LH_VisCent_ExStr_21,2167,Schaefer1000
26,17Networks_LH_VisCent_ExStr_22,1712,Schaefer1000
27,17Networks_LH_VisCent_ExStr_23,1438,Schaefer1000
28,17Networks_LH_VisCent_ExStr_24,1270,Schaefer1000
29,17Networks_LH_VisCent_ExStr_25,936,Schaefer1000
30,17Networks_LH_VisCent_ExStr_26,402,Schaefer1000
31,17Networks_LH_VisCent_ExStr_27,925,Schaefer1000
32,17Networks_LH_VisCent_ExStr_28,1470,Schaefer1000
33,17Networks_LH_VisCent_ExStr_29,1026,Schaefer1000
34,17Networks_LH_VisCent_ExStr_30,785,Schaefer1000
35,17Networks_LH_VisPeri_StriCal_1,386,Schaefer1000
36,17Networks_LH_VisPeri_StriCal_2,775,Schaefer1000
37,17Networks_LH_VisPeri_StriCal_3,494,Schaefer1000
38,17Networks_LH_VisPeri_StriCal_4,1362,Schaefer1000
39,17Networks_LH_VisPeri_StriCal_5,625,Schaefer1000
40,17Networks_LH_VisPeri_StriCal_6,975,Schaefer1000
41,17Networks_LH_VisPeri_StriCal_7,864,Schaefer1000
42,17Networks_LH_VisPeri_StriCal_8,683,Schaefer1000
43,17Networks_LH_VisPeri_StriCal_9,541,Schaefer1000
44,17Networks_LH_VisPeri_StriCal_10,862,Schaefer1000
45,17Networks_LH_VisPeri_ExStrInf_1,1984,Schaefer1000
46,17Networks_LH_VisPeri_ExStrInf_2,940,Schaefer1000
47,17Networks_LH_VisPeri_ExStrInf_3,584,Schaefer1000
48,17Networks_LH_VisPeri_ExStrInf_4,711,Schaefer1000
49,17Networks_LH_VisPeri_ExStrInf_5,606,Schaefer1000
50,17Networks_LH_VisPeri_ExStrInf_6,1206,Schaefer1000
51,17Networks_LH_VisPeri_ExStrInf_7,803,Schaefer1000
52,17Networks_LH_VisPeri_ExStrInf_8,930,Schaefer1000
53,17Networks_LH_VisPeri_ExStrInf_9,641,Schaefer1000
54,17Networks_LH_VisPeri_ExStrInf_10,1161,Schaefer1000
55,17Networks_LH_VisPeri_ExStrSup_1,430,Schaefer1000
56,17Networks_LH_VisPeri_ExStrSup_2,1136,Schaefer1000
57,17Networks_LH_VisPeri_ExStrSup_3,1481,Schaefer1000
58,17Networks_LH_VisPeri_ExStrSup_4,525,Schaefer1000
59,17Networks_LH_VisPeri_ExStrSup_5,1198,Schaefer1000
