node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_ExStr_1,330,Schaefer200
2,17Networks_LH_VisCent_ExStr_2,225,Schaefer200
3,17Networks_LH_VisCent_Striate_1,252,Schaefer200
4,17Networks_LH_VisCent_ExStr_3,235,Schaefer200
5,17Networks_LH_VisCent_ExStr_4,239,Schaefer200
6,17Networks_LH_VisCent_ExStr_5,231,Schaefer200
7,17Networks_LH_VisPeri_ExStrInf_1,157,Schaefer200
8,17Networks_LH_VisPeri_ExStrInf_2,154,Schaefer200
9,17Networks_LH_VisPeri_ExStrInf_3,42,Schaefer200
10,17Networks_LH_VisPeri_StriCal_1,273,Schaefer200
11,17Networks_LH_VisPeri_ExStrSup_1,100,Schaefer200
12,17Networks_LH_VisPeri_ExStrSup_2,332,Schaefer200
13,17Networks_LH_SomMotA_1,163,Schaefer200
14,17Networks_LH_SomMotA_2,128,Schaefer200
15,17Networks_LH_SomMotA_3,161,Schaefer200
16,17Networks_LH_SomMotA_4,185,Schaefer200
17,17Networks_LH_SomMotA_5,111,Schaefer200
18,17Networks_LH_SomMotA_6,164,Schaefer200
19,17Networks_LH_SomMotA_7,327,Schaefer200
20,17Networks_LH_SomMotA_8,93,Schaefer200
21,17Networks_LH_SomMotB_Aud_1,176,Schaefer200
22,17Networks_LH_SomMotB_Aud_2,237,Schaefer200
23,17Networks_LH_SomMotB_S2_1,139,Schaefer200
24,17Networks_LH_SomMotB_S2_2,198,Schaefer200
25,17Networks_LH_SomMotB_Aud_3,169,Schaefer200
26,17Networks_LH_SomMotB_S2_3,115,Schaefer200
27,17Networks_LH_SomMotB_Cent_1,253,Schaefer200
28,17Networks_LH_SomMotB_Cent_2,156,Schaefer200
29,17Networks_LH_DorsAttnA_TempOcc_1,362,Schaefer200
30,17Networks_LH_DorsAttnA_TempOcc_2,233,Schaefer200
31,17Networks_LH_DorsAttnA_ParOcc_1,216,Schaefer200
32,17Networks_LH_DorsAttnA_SPL_1,182,Schaefer200
33,17Networks_LH_DorsAttnA_SPL_2,177,Schaefer200
34,17Networks_LH_DorsAttnA_SPL_3,99,Schaefer200
35,17Networks_LH_DorsAttnB_PostC_1,156,Schaefer200
36,17Networks_LH_DorsAttnB_PostC_2,127,Schaefer200
37,17Networks_LH_DorsAttnB_PostC_3,102,Schaefer200
38,17Networks_LH_DorsAttnB_PostC_4,197,Schaefer200
39,17Networks_LH_DorsAttnB_FEF_1,226,Schaefer200
40,17Networks_LH_SalVentAttnA_ParOper_1,196,Schaefer200
41,17Networks_LH_SalVentAttnA_Ins_1,203,Schaefer200
42,17Networks_LH_SalVentAttnA_FrOper_1,92,Schaefer200
43,17Networks_LH_SalVentAttnA_FrOper_2,148,Schaefer200
44,17Networks_LH_SalVentAttnA_ParMed_1,193,Schaefer200
45,17Networks_LH_SalVentAttnA_FrMed_1,236,Schaefer200
46,17Networks_LH_SalVentAttnA_FrMed_2,144,Schaefer200
47,17Networks_LH_SalVentAttnB_IPL_1,157,Schaefer200
48,17Networks_LH_SalVentAttnB_PFCl_1,394,Schaefer200
49,17Networks_LH_SalVentAttnB_Ins_1,138,Schaefer200
50,17Networks_LH_SalVentAttnB_PFCmp_1,178,Schaefer200
51,17Networks_LH_LimbicB_OFC_1,166,Schaefer200
52,17Networks_LH_LimbicB_OFC_2,402,Schaefer200
53,17Networks_LH_LimbicA_TempPole_1,272,Schaefer200
54,17Networks_LH_LimbicA_TempPole_2,311,Schaefer200
55,17Networks_LH_LimbicA_TempPole_3,191,Schaefer200
56,17Networks_LH_LimbicA_TempPole_4,111,Schaefer200
57,17Networks_LH_ContA_Temp_1,195,Schaefer200
58,17Networks_LH_ContA_IPS_1,194,Schaefer200
59,17Networks_LH_ContA_IPS_2,134,Schaefer200
60,17Networks_LH_ContA_IPS_3,121,Schaefer200
61,17Networks_LH_ContA_PFCd_1,172,Schaefer200
62,17Networks_LH_ContA_PFClv_1,372,Schaefer200
63,17Networks_LH_ContA_PFCl_1,238,Schaefer200
64,17Networks_LH_ContA_PFCl_2,126,Schaefer200
65,17Networks_LH_ContA_PFCl_3,197,Schaefer200
66,17Networks_LH_ContA_Cingm_1,52,Schaefer200
67,17Networks_LH_ContB_Temp_1,214,Schaefer200
68,17Networks_LH_ContB_IPL_1,144,Schaefer200
69,17Networks_LH_ContB_PFCl_1,204,Schaefer200
70,17Networks_LH_ContB_PFClv_1,185,Schaefer200
71,17Networks_LH_ContB_PFClv_2,221,Schaefer200
72,17Networks_LH_ContC_pCun_1,156,Schaefer200
73,17Networks_LH_ContC_pCun_2,201,Schaefer200
74,17Networks_LH_ContC_Cingp_1,67,Schaefer200
75,17Networks_LH_DefaultA_IPL_1,327,Schaefer200
76,17Networks_LH_DefaultA_PFCd_1,260,Schaefer200
77,17Networks_LH_DefaultA_pCunPCC_1,205,Schaefer200
78,17Networks_LH_DefaultA_pCunPCC_2,129,Schaefer200
79,17Networks_LH_DefaultA_pCunPCC_3,188,Schaefer200
80,17Networks_LH_DefaultA_PFCm_1,159,Schaefer200
81,17Networks_LH_DefaultA_PFCm_2,332,Schaefer200
82,17Networks_LH_DefaultA_PFCm_3,190,Schaefer200
83,17Networks_LH_DefaultB_Temp_1,376,Schaefer200
84,17Networks_LH_DefaultB_Temp_2,248,Schaefer200
85,17Networks_LH_DefaultB_Temp_3,280,Schaefer200
86,17Networks_LH_DefaultB_Temp_4,230,Schaefer200
87,17Networks_LH_DefaultB_IPL_1,121,Schaefer200
88,17Networks_LH_DefaultB_PFCd_1,297,Schaefer200
89,17Networks_LH_DefaultB_PFCd_2,216,Schaefer200
90,17Networks_LH_DefaultB_PFCd_3,216,Schaefer200
91,17Networks_LH_DefaultB_PFCd_4,225,Schaefer200
92,17Networks_LH_DefaultB_PFCv_1,188,Schaefer200
93,17Networks_LH_DefaultB_PFCv_2,163,Schaefer200
94,17Networks_LH_DefaultB_PFCv_3,131,Schaefer200
95,17Networks_LH_DefaultB_PFCv_4,249,Schaefer200
96,17Networks_LH_DefaultC_IPL_1,190,Schaefer200
97,17Networks_LH_DefaultC_Rsp_1,169,Schaefer200
98,17Networks_LH_DefaultC_PHC_1,208,Schaefer200
99,17Networks_LH_TempPar_1,248,Schaefer200
100,17Networks_LH_TempPar_2,177,Schaefer200
101,17Networks_RH_VisCent_ExStr_1,390,Schaefer200
102,17Networks_RH_VisCent_ExStr_2,205,Schaefer200
103,17Networks_RH_VisCent_Striate_1,286,Schaefer200
104,17Networks_RH_VisCent_ExStr_3,310,Schaefer200
105,17Networks_RH_VisCent_ExStr_4,202,Schaefer200
106,17Networks_RH_VisCent_ExStr_5,349,Schaefer200
107,17Networks_RH_VisPeri_ExStrInf_1,191,Schaefer200
108,17Networks_RH_VisPeri_ExStrInf_2,110,Schaefer200
109,17Networks_RH_VisPeri_StriCal_1,233,Schaefer200
110,17Networks_RH_VisPeri_ExStrSup_1,116,Schaefer200
111,17Networks_RH_VisPeri_ExStrSup_2,210,Schaefer200
112,17Networks_RH_VisPeri_ExStrSup_3,135,Schaefer200
113,17Networks_RH_SomMotA_1,138,Schaefer200
114,17Networks_RH_SomMotA_2,119,Schaefer200
115,17Networks_RH_SomMotA_3,130,Schaefer200
116,17Networks_RH_SomMotA_4,114,Schaefer200
117,17Networks_RH_SomMotA_5,80,Schaefer200
118,17Networks_RH_SomMotA_6,164,Schaefer200
119,17Networks_RH_SomMotA_7,93,Schaefer200
120,17Networks_RH_SomMotA_8,197,Schaefer200
121,17Networks_RH_SomMotA_9,115,Schaefer200
122,17Networks_RH_SomMotA_10,206,Schaefer200
123,17Networks_RH_SomMotA_11,78,Schaefer200
124,17Networks_RH_SomMotB_Aud_1,184,Schaefer200
125,17Networks_RH_SomMotB_Aud_2,154,Schaefer200
126,17Networks_RH_SomMotB_S2_1,112,Schaefer200
127,17Networks_RH_SomMotB_S2_2,118,Schaefer200
128,17Networks_RH_SomMotB_S2_3,80,Schaefer200
129,17Networks_RH_SomMotB_S2_4,91,Schaefer200
130,17Networks_RH_SomMotB_Cent_1,237,Schaefer200
131,17Networks_RH_DorsAttnA_TempOcc_1,356,Schaefer200
132,17Networks_RH_DorsAttnA_ParOcc_1,284,Schaefer200
133,17Networks_RH_DorsAttnA_SPL_1,242,Schaefer200
134,17Networks_RH_DorsAttnA_SPL_2,138,Schaefer200
135,17Networks_RH_DorsAttnA_SPL_3,157,Schaefer200
136,17Networks_RH_DorsAttnA_SPL_4,265,Schaefer200
137,17Networks_RH_DorsAttnB_PostC_1,111,Schaefer200
138,17Networks_RH_DorsAttnB_PostC_2,130,Schaefer200
139,17Networks_RH_DorsAttnB_PostC_3,230,Schaefer200
140,17Networks_RH_DorsAttnB_PostC_4,178,Schaefer200
141,17Networks_RH_DorsAttnB_FEF_1,154,Schaefer200
142,17Networks_RH_SalVentAttnA_ParOper_1,278,Schaefer200
143,17Networks_RH_SalVentAttnA_PrC_1,121,Schaefer200
144,17Networks_RH_SalVentAttnA_Ins_1,107,Schaefer200
145,17Networks_RH_SalVentAttnA_Ins_2,222,Schaefer200
146,17Networks_RH_SalVentAttnA_FrOper_1,265,Schaefer200
147,17Networks_RH_SalVentAttnA_FrMed_1,231,Schaefer200
148,17Networks_RH_SalVentAttnA_ParMed_1,77,Schaefer200
149,17Networks_RH_SalVentAttnA_ParMed_2,183,Schaefer200
150,17Networks_RH_SalVentAttnA_FrMed_2,199,Schaefer200
151,17Networks_RH_SalVentAttnB_IPL_1,138,Schaefer200
152,17Networks_RH_SalVentAttnB_PFClv_1,318,Schaefer200
153,17Networks_RH_SalVentAttnB_PFCl_1,309,Schaefer200
154,17Networks_RH_SalVentAttnB_Ins_1,76,Schaefer200
155,17Networks_RH_SalVentAttnB_Ins_2,108,Schaefer200
156,17Networks_RH_SalVentAttnB_PFCmp_1,188,Schaefer200
157,17Networks_RH_LimbicB_OFC_1,239,Schaefer200
158,17Networks_RH_LimbicB_OFC_2,215,Schaefer200
159,17Networks_RH_LimbicB_OFC_3,325,Schaefer200
160,17Networks_RH_LimbicB_OFC_4,231,Schaefer200
