node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_Striate_1,60,Schaefer1000
2,17Networks_LH_VisCent_Striate_2,43,Schaefer1000
3,17Networks_LH_VisCent_Striate_3,35,Schaefer1000
4,17Networks_LH_VisCent_Striate_4,27,Schaefer1000
5,17Networks_LH_VisCent_ExStr_1,65,Schaefer1000
6,17Networks_LH_VisCent_ExStr_2,31,Schaefer1000
7,17Networks_LH_VisCent_ExStr_3,56,Schaefer1000
8,17Networks_LH_VisCent_ExStr_4,53,Schaefer1000
9,17Networks_LH_VisCent_ExStr_5,26,Schaefer1000
10,17Networks_LH_VisCent_ExStr_6,64,Schaefer1000
11,17Networks_LH_VisCent_ExStr_7,82,Schaefer1000
12,17Networks_LH_VisCent_ExStr_8,72,Schaefer1000
13,17Networks_LH_VisCent_ExStr_9,43,Schaefer1000
14,17Networks_LH_VisCent_ExStr_10,35,Schaefer1000
15,17Networks_LH_VisCent_ExStr_11,20,Schaefer1000
16,17Networks_LH_VisCent_ExStr_12,44,Schaefer1000
17,17Networks_LH_VisCent_ExStr_13,89,Schaefer1000
18,17Networks_LH_VisCent_ExStr_14,59,Schaefer1000
19,17Networks_LH_VisCent_ExStr_15,38,Schaefer1000
20,17Networks_LH_VisCent_ExStr_16,37,Schaefer1000
21,17Networks_LH_VisCent_ExStr_17,42,Schaefer1000
22,17Networks_LH_VisCent_ExStr_18,45,Schaefer1000
23,17Networks_LH_VisCent_ExStr_19,49,Schaefer1000
24,17Networks_LH_VisCent_ExStr_20,22,Schaefer1000
25,17Networks_LH_VisCent_ExStr_21,82,Schaefer1000
26,17Networks_LH_VisCent_ExStr_22,61,Schaefer1000
27,17Networks_LH_VisCent_ExStr_23,57,Schaefer1000
28,17Networks_LH_VisCent_ExStr_24,49,Schaefer1000
29,17Networks_LH_VisCent_ExStr_25,29,Schaefer1000
30,17Networks_LH_VisCent_ExStr_26,17,Schaefer1000
31,17Networks_LH_VisCent_ExStr_27,34,Schaefer1000
32,17Networks_LH_VisCent_ExStr_28,57,Schaefer1000
33,17Networks_LH_VisCent_ExStr_29,39,Schaefer1000
34,17Networks_LH_VisCent_ExStr_30,29,Schaefer1000
35,17Networks_LH_VisPeri_StriCal_1,17,Schaefer1000
36,17Networks_LH_VisPeri_StriCal_2,27,Schaefer1000
37,17Networks_LH_VisPeri_StriCal_3,16,Schaefer1000
38,17Networks_LH_VisPeri_StriCal_4,54,Schaefer1000
39,17Networks_LH_VisPeri_StriCal_5,27,Schaefer1000
40,17Networks_LH_VisPeri_StriCal_6,35,Schaefer1000
41,17Networks_LH_VisPeri_StriCal_7,33,Schaefer1000
42,17Networks_LH_VisPeri_StriCal_8,26,Schaefer1000
43,17Networks_LH_VisPeri_StriCal_9,20,Schaefer1000
44,17Networks_LH_VisPeri_StriCal_10,27,Schaefer1000
45,17Networks_LH_VisPeri_ExStrInf_1,79,Schaefer1000
46,17Networks_LH_VisPeri_ExStrInf_2,40,Schaefer1000
47,17Networks_LH_VisPeri_ExStrInf_3,23,Schaefer1000
48,17Networks_LH_VisPeri_ExStrInf_4,26,Schaefer1000
49,17Networks_LH_VisPeri_ExStrInf_5,27,Schaefer1000
50,17Networks_LH_VisPeri_ExStrInf_6,42,Schaefer1000
51,17Networks_LH_VisPeri_ExStrInf_7,28,Schaefer1000
52,17Networks_LH_VisPeri_ExStrInf_8,37,Schaefer1000
53,17Networks_LH_VisPeri_ExStrInf_9,21,Schaefer1000
54,17Networks_LH_VisPeri_ExStrInf_10,37,Schaefer1000
55,17Networks_LH_VisPeri_ExStrSup_1,15,Schaefer1000
56,17Networks_LH_VisPeri_ExStrSup_2,42,Schaefer1000
57,17Networks_LH_VisPeri_ExStrSup_3,55,Schaefer1000
58,17Networks_LH_VisPeri_ExStrSup_4,18,Schaefer1000
59,17Networks_LH_VisPeri_ExStrSup_5,44,Schaefer1000
60,17Networks_LH_VisPeri_ExStrSup_6,18,Schaefer1000
61,17Networks_LH_VisPeri_ExStrSup_7,45,Schaefer1000
62,17Networks_LH_VisPeri_ExStrSup_8,49,Schaefer1000
63,17Networks_LH_VisPeri_ExStrSup_9,38,Schaefer1000
64,17Networks_LH_VisPeri_ExStrSup_10,46,Schaefer1000
65,17Networks_LH_VisPeri_ExStrSup_11,48,Schaefer1000
66,17Networks_LH_VisPeri_ExStrSup_12,34,Schaefer1000
67,17Networks_LH_SomMotA_1,43,Schaefer1000
68,17Networks_LH_SomMotA_2,13,Schaefer1000
69,17Networks_LH_SomMotA_3,29,Schaefer1000
70,17Networks_LH_SomMotA_4,46,Schaefer1000
71,17Networks_LH_SomMotA_5,37,Schaefer1000
72,17Networks_LH_SomMotA_6,50,Schaefer1000
73,17Networks_LH_SomMotA_7,33,Schaefer1000
74,17Networks_LH_SomMotA_8,9,Schaefer1000
75,17Networks_LH_SomMotA_9,24,Schaefer1000
76,17Networks_LH_SomMotA_10,52,Schaefer1000
77,17Networks_LH_SomMotA_11,50,Schaefer1000
78,17Networks_LH_SomMotA_12,64,Schaefer1000
79,17Networks_LH_SomMotA_13,40,Schaefer1000
80,17Networks_LH_SomMotA_14,34,Schaefer1000
81,17Networks_LH_SomMotA_15,38,Schaefer1000
82,17Networks_LH_SomMotA_16,33,Schaefer1000
83,17Networks_LH_SomMotA_17,50,Schaefer1000
84,17Networks_LH_SomMotA_18,17,Schaefer1000
85,17Networks_LH_SomMotA_19,59,Schaefer1000
86,17Networks_LH_SomMotA_20,33,Schaefer1000
87,17Networks_LH_SomMotA_21,43,Schaefer1000
88,17Networks_LH_SomMotA_22,23,Schaefer1000
89,17Networks_LH_SomMotA_23,25,Schaefer1000
90,17Networks_LH_SomMotA_24,25,Schaefer1000
91,17Networks_LH_SomMotA_25,22,Schaefer1000
92,17Networks_LH_SomMotA_26,32,Schaefer1000
93,17Networks_LH_SomMotA_27,12,Schaefer1000
94,17Networks_LH_SomMotA_28,36,Schaefer1000
95,17Networks_LH_SomMotA_29,26,Schaefer1000
96,17Networks_LH_SomMotA_30,42,Schaefer1000
97,17Networks_LH_SomMotA_31,20,Schaefer1000
98,17Networks_LH_SomMotA_32,15,Schaefer1000
99,17Networks_LH_SomMotA_33,40,Schaefer1000
100,17Networks_LH_SomMotA_34,26,Schaefer1000
101,17Networks_LH_SomMotA_35,51,Schaefer1000
102,17Networks_LH_SomMotA_36,27,Schaefer1000
