node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_Striate_1,61,Schaefer700
2,17Networks_LH_VisCent_Striate_2,60,Schaefer700
3,17Networks_LH_VisCent_Striate_3,76,Schaefer700
4,17Networks_LH_VisCent_Striate_4,33,Schaefer700
5,17Networks_LH_VisCent_ExStr_1,78,Schaefer700
6,17Networks_LH_VisCent_ExStr_2,47,Schaefer700
7,17Networks_LH_VisCent_ExStr_3,69,Schaefer700
8,17Networks_LH_VisCent_ExStr_4,77,Schaefer700
9,17Networks_LH_VisCent_ExStr_5,86,Schaefer700
10,17Networks_LH_VisCent_ExStr_6,88,Schaefer700
11,17Networks_LH_VisCent_ExStr_7,94,Schaefer700
12,17Networks_LH_VisCent_ExStr_8,63,Schaefer700
13,17Networks_LH_VisCent_ExStr_9,54,Schaefer700
14,17Networks_LH_VisCent_ExStr_10,89,Schaefer700
15,17Networks_LH_VisCent_ExStr_11,63,Schaefer700
16,17Networks_LH_VisCent_ExStr_12,92,Schaefer700
17,17Networks_LH_VisCent_ExStr_13,41,Schaefer700
18,17Networks_LH_VisCent_ExStr_14,51,Schaefer700
19,17Networks_LH_VisCent_ExStr_15,40,Schaefer700
20,17Networks_LH_VisCent_ExStr_16,82,Schaefer700
21,17Networks_LH_VisCent_ExStr_17,96,Schaefer700
22,17Networks_LH_VisCent_ExStr_18,36,Schaefer700
23,17Networks_LH_VisCent_ExStr_19,91,Schaefer700
24,17Networks_LH_VisCent_ExStr_20,43,Schaefer700
25,17Networks_LH_VisPeri_StriCal_1,27,Schaefer700
26,17Networks_LH_VisPeri_StriCal_2,25,Schaefer700
27,17Networks_LH_VisPeri_StriCal_3,60,Schaefer700
28,17Networks_LH_VisPeri_StriCal_4,60,Schaefer700
29,17Networks_LH_VisPeri_StriCal_5,58,Schaefer700
30,17Networks_LH_VisPeri_StriCal_6,34,Schaefer700
31,17Networks_LH_VisPeri_ExStrInf_1,15,Schaefer700
32,17Networks_LH_VisPeri_ExStrInf_2,30,Schaefer700
33,17Networks_LH_VisPeri_ExStrInf_3,62,Schaefer700
34,17Networks_LH_VisPeri_ExStrInf_4,29,Schaefer700
35,17Networks_LH_VisPeri_ExStrInf_5,68,Schaefer700
36,17Networks_LH_VisPeri_ExStrInf_6,20,Schaefer700
37,17Networks_LH_VisPeri_ExStrInf_7,22,Schaefer700
38,17Networks_LH_VisPeri_ExStrInf_8,17,Schaefer700
39,17Networks_LH_VisPeri_ExStrSup_1,78,Schaefer700
40,17Networks_LH_VisPeri_ExStrSup_2,25,Schaefer700
41,17Networks_LH_VisPeri_ExStrSup_3,15,Schaefer700
42,17Networks_LH_VisPeri_ExStrSup_4,80,Schaefer700
43,17Networks_LH_VisPeri_ExStrSup_5,52,Schaefer700
44,17Networks_LH_VisPeri_ExStrSup_6,63,Schaefer700
45,17Networks_LH_VisPeri_ExStrSup_7,56,Schaefer700
46,17Networks_LH_VisPeri_ExStrSup_8,66,Schaefer700
47,17Networks_LH_VisPeri_ExStrSup_9,16,Schaefer700
48,17Networks_LH_SomMotA_1,30,Schaefer700
49,17Networks_LH_SomMotA_2,36,Schaefer700
50,17Networks_LH_SomMotA_3,22,Schaefer700
51,17Networks_LH_SomMotA_4,29,Schaefer700
52,17Networks_LH_SomMotA_5,39,Schaefer700
53,17Networks_LH_SomMotA_6,49,Schaefer700
54,17Networks_LH_SomMotA_7,13,Schaefer700
55,17Networks_LH_SomMotA_8,80,Schaefer700
56,17Networks_LH_SomMotA_9,37,Schaefer700
57,17Networks_LH_SomMotA_10,31,Schaefer700
58,17Networks_LH_SomMotA_11,33,Schaefer700
59,17Networks_LH_SomMotA_12,50,Schaefer700
60,17Networks_LH_SomMotA_13,15,Schaefer700
61,17Networks_LH_SomMotA_14,59,Schaefer700
62,17Networks_LH_SomMotA_15,58,Schaefer700
63,17Networks_LH_SomMotA_16,53,Schaefer700
64,17Networks_LH_SomMotA_17,34,Schaefer700
65,17Networks_LH_SomMotA_18,59,Schaefer700
66,17Networks_LH_SomMotA_19,68,Schaefer700
67,17Networks_LH_SomMotA_20,37,Schaefer700
68,17Networks_LH_SomMotA_21,65,Schaefer700
69,17Networks_LH_SomMotA_22,60,Schaefer700
70,17Networks_LH_SomMotA_23,31,Schaefer700
71,17Networks_LH_SomMotA_24,44,Schaefer700
72,17Networks_LH_SomMotA_25,65,Schaefer700
73,17Networks_LH_SomMotA_26,37,Schaefer700
74,17Networks_LH_SomMotA_27,38,Schaefer700
75,17Networks_LH_SomMotA_28,27,Schaefer700
76,17Networks_LH_SomMotA_29,43,Schaefer700
77,17Networks_LH_SomMotA_30,40,Schaefer700
78,17Networks_LH_SomMotA_31,33,Schaefer700
79,17Networks_LH_SomMotA_32,43,Schaefer700
80,17Networks_LH_SomMotA_33,18,Schaefer700
81,17Networks_LH_SomMotA_34,27,Schaefer700
82,17Networks_LH_SomMotA_35,33,Schaefer700
83,17Networks_LH_SomMotA_36,24,Schaefer700
84,17Networks_LH_SomMotB_Cent_1,37,Schaefer700
85,17Networks_LH_SomMotB_Cent_2,36,Schaefer700
86,17Networks_LH_SomMotB_Cent_3,25,Schaefer700
87,17Networks_LH_SomMotB_Cent_4,74,Schaefer700
88,17Networks_LH_SomMotB_Cent_5,58,Schaefer700
89,17Networks_LH_SomMotB_Cent_6,26,Schaefer700
90,17Networks_LH_SomMotB_Cent_7,61,Schaefer700
91,17Networks_LH_SomMotB_Cent_8,15,Schaefer700
92,17Networks_LH_SomMotB_S2_1,15,Schaefer700
93,17Networks_LH_SomMotB_S2_2,32,Schaefer700
94,17Networks_LH_SomMotB_S2_3,39,Schaefer700
95,17Networks_LH_SomMotB_S2_4,51,Schaefer700
96,17Networks_LH_SomMotB_S2_5,52,Schaefer700
97,17Networks_LH_SomMotB_S2_6,38,Schaefer700
98,17Networks_LH_SomMotB_S2_7,70,Schaefer700
99,17Networks_LH_SomMotB_S2_8,31,Schaefer700
100,17Networks_LH_SomMotB_S2_9,28,Schaefer700
101,17Networks_LH_SomMotB_Ins_1,48,Schaefer700
102,17Networks_LH_SomMotB_Aud_1,63,Schaefer700
103,17Networks_LH_SomMotB_Aud_2,65,Schaefer700
104,17Networks_LH_SomMotB_Aud_3,73,Schaefer700
105,17Networks_LH_SomMotB_Aud_4,45,Schaefer700
106,17Networks_LH_SomMotB_Aud_5,58,Schaefer700
107,17Networks_LH_SomMotB_Aud_6,31,Schaefer700
108,17Networks_LH_SomMotB_Aud_7,71,Schaefer700
109,17Networks_LH_SomMotB_Aud_8,56,Schaefer700
110,17Networks_LH_DorsAttnA_TempOcc_1,98,Schaefer700
111,17Networks_LH_DorsAttnA_TempOcc_2,95,Schaefer700
112,17Networks_LH_DorsAttnA_TempOcc_3,26,Schaefer700
113,17Networks_LH_DorsAttnA_TempOcc_4,63,Schaefer700
114,17Networks_LH_DorsAttnA_TempOcc_5,105,Schaefer700
115,17Networks_LH_DorsAttnA_TempOcc_6,35,Schaefer700
116,17Networks_LH_DorsAttnA_TempOcc_7,63,Schaefer700
117,17Networks_LH_DorsAttnA_ParOcc_1,42,Schaefer700
118,17Networks_LH_DorsAttnA_ParOcc_2,100,Schaefer700
119,17Networks_LH_DorsAttnA_ParOcc_3,38,Schaefer700
120,17Networks_LH_DorsAttnA_ParOcc_4,52,Schaefer700
121,17Networks_LH_DorsAttnA_SPL_1,39,Schaefer700
