node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_ExStr_1,121,Schaefer300
2,17Networks_LH_VisCent_ExStr_2,95,Schaefer300
3,17Networks_LH_VisCent_ExStr_3,147,Schaefer300
4,17Networks_LH_VisCent_ExStr_4,134,Schaefer300
5,17Networks_LH_VisCent_ExStr_5,163,Schaefer300
6,17Networks_LH_VisCent_ExStr_6,123,Schaefer300
7,17Networks_LH_VisCent_Striate_1,220,Schaefer300
8,17Networks_LH_VisCent_ExStr_7,213,Schaefer300
9,17Networks_LH_VisCent_ExStr_8,164,Schaefer300
10,17Networks_LH_VisCent_ExStr_9,213,Schaefer300
11,17Networks_LH_VisCent_ExStr_10,129,Schaefer300
12,17Networks_LH_VisPeri_ExStrInf_1,128,Schaefer300
13,17Networks_LH_VisPeri_ExStrInf_2,92,Schaefer300
14,17Networks_LH_VisPeri_ExStrInf_3,79,Schaefer300
15,17Networks_LH_VisPeri_ExStrInf_4,74,Schaefer300
16,17Networks_LH_VisPeri_StriCal_1,163,Schaefer300
17,17Networks_LH_VisPeri_ExStrSup_1,98,Schaefer300
18,17Networks_LH_VisPeri_ExStrSup_2,126,Schaefer300
19,17Networks_LH_VisPeri_ExStrSup_3,121,Schaefer300
20,17Networks_LH_VisPeri_ExStrSup_4,125,Schaefer300
21,17Networks_LH_SomMotA_1,116,Schaefer300
22,17Networks_LH_SomMotA_2,75,Schaefer300
23,17Networks_LH_SomMotA_3,127,Schaefer300
24,17Networks_LH_SomMotA_4,87,Schaefer300
25,17Networks_LH_SomMotA_5,70,Schaefer300
26,17Networks_LH_SomMotA_6,139,Schaefer300
27,17Networks_LH_SomMotA_7,95,Schaefer300
28,17Networks_LH_SomMotA_8,76,Schaefer300
29,17Networks_LH_SomMotA_9,104,Schaefer300
30,17Networks_LH_SomMotA_10,153,Schaefer300
31,17Networks_LH_SomMotA_11,112,Schaefer300
32,17Networks_LH_SomMotA_12,175,Schaefer300
33,17Networks_LH_SomMotA_13,106,Schaefer300
34,17Networks_LH_SomMotA_14,84,Schaefer300
35,17Networks_LH_SomMotA_15,68,Schaefer300
36,17Networks_LH_SomMotB_Aud_1,143,Schaefer300
37,17Networks_LH_SomMotB_Aud_2,177,Schaefer300
38,17Networks_LH_SomMotB_S2_1,54,Schaefer300
39,17Networks_LH_SomMotB_S2_2,85,Schaefer300
40,17Networks_LH_SomMotB_S2_3,73,Schaefer300
41,17Networks_LH_SomMotB_Aud_3,120,Schaefer300
42,17Networks_LH_SomMotB_S2_4,89,Schaefer300
43,17Networks_LH_SomMotB_S2_5,74,Schaefer300
44,17Networks_LH_SomMotB_S2_6,63,Schaefer300
45,17Networks_LH_SomMotB_Cent_1,181,Schaefer300
46,17Networks_LH_SomMotB_Cent_2,92,Schaefer300
47,17Networks_LH_SomMotB_Cent_3,44,Schaefer300
48,17Networks_LH_DorsAttnA_TempOcc_1,128,Schaefer300
49,17Networks_LH_DorsAttnA_TempOcc_2,234,Schaefer300
50,17Networks_LH_DorsAttnA_TempOcc_3,210,Schaefer300
51,17Networks_LH_DorsAttnA_ParOcc_1,124,Schaefer300
52,17Networks_LH_DorsAttnA_SPL_1,50,Schaefer300
53,17Networks_LH_DorsAttnA_SPL_2,140,Schaefer300
54,17Networks_LH_DorsAttnA_SPL_3,157,Schaefer300
55,17Networks_LH_DorsAttnA_SPL_4,81,Schaefer300
56,17Networks_LH_DorsAttnB_TempOcc_1,133,Schaefer300
57,17Networks_LH_DorsAttnB_PostC_1,150,Schaefer300
58,17Networks_LH_DorsAttnB_PostC_2,92,Schaefer300
59,17Networks_LH_DorsAttnB_PostC_3,144,Schaefer300
60,17Networks_LH_DorsAttnB_PostC_4,107,Schaefer300
61,17Networks_LH_DorsAttnB_PostC_5,152,Schaefer300
62,17Networks_LH_DorsAttnB_FEF_1,214,Schaefer300
63,17Networks_LH_DorsAttnB_FEF_2,139,Schaefer300
64,17Networks_LH_SalVentAttnA_ParOper_1,89,Schaefer300
65,17Networks_LH_SalVentAttnA_ParOper_2,126,Schaefer300
66,17Networks_LH_SalVentAttnA_Ins_1,212,Schaefer300
67,17Networks_LH_SalVentAttnA_Ins_2,76,Schaefer300
68,17Networks_LH_SalVentAttnA_Ins_3,71,Schaefer300
69,17Networks_LH_SalVentAttnA_FrOper_1,95,Schaefer300
70,17Networks_LH_SalVentAttnA_ParMed_1,156,Schaefer300
71,17Networks_LH_SalVentAttnA_ParMed_2,90,Schaefer300
72,17Networks_LH_SalVentAttnA_FrMed_1,229,Schaefer300
73,17Networks_LH_SalVentAttnA_FrMed_2,90,Schaefer300
74,17Networks_LH_SalVentAttnB_IPL_1,115,Schaefer300
75,17Networks_LH_SalVentAttnB_PFCl_1,276,Schaefer300
76,17Networks_LH_SalVentAttnB_PFCl_2,167,Schaefer300
77,17Networks_LH_SalVentAttnB_Ins_1,64,Schaefer300
78,17Networks_LH_SalVentAttnB_Ins_2,60,Schaefer300
79,17Networks_LH_SalVentAttnB_PFCmp_1,180,Schaefer300
80,17Networks_LH_LimbicB_OFC_1,173,Schaefer300
81,17Networks_LH_LimbicB_OFC_2,198,Schaefer300
82,17Networks_LH_LimbicB_OFC_3,196,Schaefer300
83,17Networks_LH_LimbicB_OFC_4,205,Schaefer300
84,17Networks_LH_LimbicA_TempPole_1,216,Schaefer300
85,17Networks_LH_LimbicA_TempPole_2,221,Schaefer300
86,17Networks_LH_LimbicA_TempPole_3,186,Schaefer300
87,17Networks_LH_LimbicA_TempPole_4,179,Schaefer300
88,17Networks_LH_LimbicA_TempPole_5,121,Schaefer300
89,17Networks_LH_ContA_Temp_1,171,Schaefer300
90,17Networks_LH_ContA_IPS_1,119,Schaefer300
