node_index,node_label,n_voxel,node_source
1,HIP-head-m1-rh,24,TianScale4
2,HIP-head-m2-rh,16,TianScale4
3,THA-VAip-rh,62,TianScale4
4,THA-VAia-rh,48,TianScale4
5,HIP-head-l-rh,63,TianScale4
6,HIP-body-rh,60,TianScale4
7,HIP-tail-rh,29,TianScale4
8,THA-VPm-rh,27,TianScale4
9,THA-VPl-rh,31,TianScale4
10,THA-VAs-rh,70,TianScale4
11,THA-DAm-rh,54,TianScale4
12,THA-DAl-rh,48,TianScale4
13,PUT-VA-rh,60,TianScale4
14,PUT-DA-rh,68,TianScale4
15,PUT-VP-rh,67,TianScale4
16,PUT-DP-rh,76,TianScale4
17,CAU-VA-rh,35,TianScale4
18,CAU-DA-rh,55,TianScale4
19,CAU-body-rh,39,TianScale4
20,CAU-tail-rh,11,TianScale4
21,lAMY-rh,55,TianScale4
22,mAMY-rh,62,TianScale4
23,THA-DP-rh,59,TianScale4
24,NAc-shell-rh,33,TianScale4
25,NAc-core-rh,30,TianScale4
26,pGP-rh,24,TianScale4
27,aGP-rh,30,TianScale4
28,HIP-head-m1-lh,23,TianScale4
29,HIP-head-m2-lh,9,TianScale4
30,THA-VAip-lh,64,TianScale4
31,THA-VAia-lh,52,TianScale4
32,HIP-head-l-lh,66,TianScale4
33,HIP-body-lh,59,TianScale4
34,HIP-tail-lh,29,TianScale4
35,THA-VPm-lh,28,TianScale4
36,THA-VPl-lh,36,TianScale4
37,THA-VAs-lh,76,TianScale4
38,THA-DAm-lh,53,TianScale4
39,THA-DAl-lh,42,TianScale4
40,PUT-VA-lh,67,TianScale4
41,PUT-DA-lh,65,TianScale4
42,PUT-VP-lh,81,TianScale4
43,PUT-DP-lh,72,TianScale4
44,CAU-VA-lh,43,TianScale4
45,CAU-DA-lh,49,TianScale4
46,CAU-body-lh,29,TianScale4
47,CAU-tail-lh,13,TianScale4
48,lAMY-lh,49,TianScale4
49,mAMY-lh,60,TianScale4
50,THA-DP-lh,64,TianScale4
51,NAc-shell-lh,40,TianScale4
52,NAc-core-lh,24,TianScale4
53,pGP-lh,26,TianScale4
54,aGP-lh,34,TianScale4
