node_index,node_label,n_voxel,node_source
1,aHIP-rh,103,TianScale2
2,pHIP-rh,89,TianScale2
3,lAMY-rh,55,TianScale2
4,mAMY-rh,62,TianScale2
5,THA-DP-rh,59,TianScale2
6,THA-VP-rh,58,TianScale2
7,THA-VA-rh,180,TianScale2
8,THA-DA-rh,102,TianScale2
9,NAc-shell-rh,33,TianScale2
10,NAc-core-rh,30,TianScale2
11,pGP-rh,24,TianScale2
12,aGP-rh,30,TianScale2
13,aPUT-rh,128,TianScale2
14,pPUT-rh,143,TianScale2
15,aCAU-rh,90,TianScale2
16,pCAU-rh,50,TianScale2
17,aHIP-lh,98,TianScale2
18,pHIP-lh,88,TianScale2
19,lAMY-lh,49,TianScale2
20,mAMY-lh,60,TianScale2
21,THA-DP-lh,64,TianScale2
22,THA-VP-lh,64,TianScale2
23,THA-VA-lh,192,TianScale2
24,THA-DA-lh,95,TianScale2
25,NAc-shell-lh,40,TianScale2
26,NAc-core-lh,24,TianScale2
27,pGP-lh,26,TianScale2
28,aGP-lh,34,TianScale2
29,aPUT-lh,132,TianScale2
30,pPUT-lh,153,TianScale2
31,aCAU-lh,92,TianScale2
32,pCAU-lh,42,TianScale2
