node_index,node_label,n_voxel,node_source
1,aHIP-rh,346,TianScale2
2,pHIP-rh,304,TianScale2
3,lAMY-rh,160,TianScale2
4,mAMY-rh,190,TianScale2
5,THA-DP-rh,201,TianScale2
6,THA-VP-rh,186,TianScale2
7,THA-VA-rh,564,TianScale2
8,THA-DA-rh,304,TianScale2
9,NAc-shell-rh,116,TianScale2
10,NAc-core-rh,90,TianScale2
11,pGP-rh,90,TianScale2
12,aGP-rh,108,TianScale2
13,aPUT-rh,413,TianScale2
14,pPUT-rh,485,TianScale2
15,aCAU-rh,286,TianScale2
16,pCAU-rh,149,TianScale2
17,aHIP-lh,346,TianScale2
18,pHIP-lh,304,TianScale2
19,lAMY-lh,160,TianScale2
20,mAMY-lh,190,TianScale2
21,THA-DP-lh,201,TianScale2
22,THA-VP-lh,186,TianScale2
23,THA-VA-lh,564,TianScale2
24,THA-DA-lh,304,TianScale2
25,NAc-shell-lh,116,TianScale2
26,NAc-core-lh,90,TianScale2
27,pGP-lh,90,TianScale2
28,aGP-lh,108,TianScale2
29,aPUT-lh,413,TianScale2
30,pPUT-lh,485,TianScale2
31,aCAU-lh,286,TianScale2
32,pCAU-lh,149,TianScale2
