node_index,node_label,n_voxel,node_source
1,aHIP-rh,2967,TianScale2
2,pHIP-rh,2432,TianScale2
3,lAMY-rh,1284,TianScale2
4,mAMY-rh,1638,TianScale2
5,THA-DP-rh,1608,TianScale2
6,THA-VP-rh,1488,TianScale2
7,THA-VA-rh,4512,TianScale2
8,THA-DA-rh,2432,TianScale2
9,NAc-shell-rh,1124,TianScale2
10,NAc-core-rh,808,TianScale2
11,pGP-rh,720,TianScale2
12,aGP-rh,876,TianScale2
13,aPUT-rh,3673,TianScale2
14,pPUT-rh,3986,TianScale2
15,aCAU-rh,2300,TianScale2
16,pCAU-rh,1256,TianScale2
17,aHIP-lh,2902,TianScale2
18,pHIP-lh,2456,TianScale2
19,lAMY-lh,1370,TianScale2
20,mAMY-lh,1610,TianScale2
21,THA-DP-lh,1762,TianScale2
22,THA-VP-lh,1570,TianScale2
23,THA-VA-lh,4746,TianScale2
24,THA-DA-lh,2582,TianScale2
25,NAc-shell-lh,1234,TianScale2
26,NAc-core-lh,801,TianScale2
27,pGP-lh,720,TianScale2
28,aGP-lh,864,TianScale2
29,aPUT-lh,3607,TianScale2
30,pPUT-lh,3944,TianScale2
31,aCAU-lh,2494,TianScale2
32,pCAU-lh,1392,TianScale2
